,TOTAL,WHITE,BLACK,AK_NH,ASIAN_NH,PI_NH,OTHER_NH,MIX_NH,HISP_ALL,WHITE_H,BLACK_H,AK_H,ASIAN_H,PI_H,OTHER_H,MIX_H,NAME,county,state,tract,county_map,AK,API,OTHER_MIX,HISP,AK_PER,API_PER,BLACK_PER,HISP_PER,OTHER_MIX_PER,WHITE_PER,MAX_ETH_PER,MAX_ETH,Above 70,Above 80,Above 90
101,3008.0,0.0,2893.0,0.0,0.0,0.0,24.0,9.0,82.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 102, Philadelphia County, Pennsylvania",101,42,010200,"Philadelphia County, Pennsylvania",0.0,0.0,33.0,82.0,0.0,0.0,0.9617686170212766,0.02726063829787234,0.010970744680851064,0.0,0.9617686170212766,BLACK_PER,1,1,1
102,2662.0,0.0,2363.0,0.0,39.0,0.0,0.0,79.0,181.0,7.0,0.0,0.0,0.0,0.0,174.0,0.0,"Census Tract 103, Philadelphia County, Pennsylvania",101,42,010300,"Philadelphia County, Pennsylvania",0.0,39.0,79.0,181.0,0.0,0.014650638617580767,0.8876784372652141,0.06799398948159278,0.029676934635612322,0.0,0.8876784372652141,BLACK_PER,1,1,0
103,4058.0,127.0,3781.0,0.0,0.0,0.0,17.0,52.0,81.0,20.0,47.0,0.0,0.0,0.0,12.0,2.0,"Census Tract 104, Philadelphia County, Pennsylvania",101,42,010400,"Philadelphia County, Pennsylvania",0.0,0.0,69.0,81.0,0.0,0.0,0.9317397732873337,0.01996057171020207,0.01700344997535732,0.03129620502710695,0.9317397732873337,BLACK_PER,1,1,1
104,4472.0,223.0,3952.0,25.0,9.0,0.0,32.0,86.0,145.0,36.0,77.0,0.0,0.0,0.0,8.0,24.0,"Census Tract 105, Philadelphia County, Pennsylvania",101,42,010500,"Philadelphia County, Pennsylvania",25.0,9.0,118.0,145.0,0.005590339892665474,0.002012522361359571,0.8837209302325582,0.03242397137745975,0.026386404293381037,0.04986583184257603,0.8837209302325582,BLACK_PER,1,1,0
105,1587.0,92.0,1373.0,0.0,51.0,0.0,0.0,37.0,34.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 106, Philadelphia County, Pennsylvania",101,42,010600,"Philadelphia County, Pennsylvania",0.0,51.0,37.0,34.0,0.0,0.03213610586011342,0.8651543793320731,0.02142407057340895,0.023314429741650915,0.057971014492753624,0.8651543793320731,BLACK_PER,1,1,0
106,3738.0,160.0,3371.0,0.0,11.0,0.0,0.0,157.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 107, Philadelphia County, Pennsylvania",101,42,010700,"Philadelphia County, Pennsylvania",0.0,11.0,157.0,39.0,0.0,0.0029427501337613697,0.9018191546281434,0.01043338683788122,0.04200107009095773,0.042803638309256285,0.9018191546281434,BLACK_PER,1,1,1
107,3846.0,329.0,3363.0,0.0,21.0,0.0,19.0,75.0,39.0,0.0,25.0,0.0,0.0,0.0,14.0,0.0,"Census Tract 108, Philadelphia County, Pennsylvania",101,42,010800,"Philadelphia County, Pennsylvania",0.0,21.0,94.0,39.0,0.0,0.00546021840873635,0.874414976599064,0.01014040561622465,0.024440977639105563,0.08554342173686948,0.874414976599064,BLACK_PER,1,1,0
108,2599.0,438.0,1916.0,0.0,76.0,0.0,0.0,58.0,111.0,42.0,20.0,0.0,0.0,0.0,5.0,44.0,"Census Tract 109, Philadelphia County, Pennsylvania",101,42,010900,"Philadelphia County, Pennsylvania",0.0,76.0,58.0,111.0,0.0,0.029242016160061564,0.7372066179299731,0.042708734128510964,0.022316275490573297,0.1685263562908811,0.7372066179299731,BLACK_PER,1,0,0
109,3936.0,200.0,3479.0,8.0,76.0,0.0,0.0,96.0,77.0,0.0,12.0,0.0,0.0,15.0,50.0,0.0,"Census Tract 110, Philadelphia County, Pennsylvania",101,42,011000,"Philadelphia County, Pennsylvania",8.0,91.0,96.0,62.0,0.0020325203252032522,0.023119918699186993,0.8838922764227642,0.015752032520325202,0.024390243902439025,0.0508130081300813,0.8838922764227642,BLACK_PER,1,1,0
110,3083.0,177.0,2844.0,0.0,19.0,0.0,0.0,0.0,43.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,"Census Tract 111, Philadelphia County, Pennsylvania",101,42,011100,"Philadelphia County, Pennsylvania",0.0,19.0,0.0,43.0,0.0,0.006162828413882582,0.9224781057411612,0.013947453778786896,0.0,0.057411612066169314,0.9224781057411612,BLACK_PER,1,1,1
