,Season,Stadium,Teams,Actual Surface
1950,1947,Griffith Stadium,Washington Redskins,grass
1951,1946,Griffith Stadium,Washington Redskins,grass
1952,1945,Griffith Stadium,Washington Redskins,grass
1953,1944,Griffith Stadium,Washington Redskins,grass
1954,1943,Griffith Stadium,Washington Redskins,grass
1955,1942,Griffith Stadium,Washington Redskins,grass
1956,1941,Griffith Stadium,Washington Redskins,grass
1957,1940,Griffith Stadium,Washington Redskins,grass
1958,1939,Griffith Stadium,Washington Redskins,grass
1959,1938,Griffith Stadium,Washington Redskins,grass
1960,1937,Griffith Stadium,Washington Redskins,grass
1961,1936,Fenway Park,Washington Redskins,grass
1962,1935,Fenway Park,Washington Redskins,grass
1963,1934,Fenway Park,Washington Redskins,grass
1964,1933,Fenway Park,Washington Redskins,grass
1965,1932,Braves Field,Washington Redskins,grass
